property_url,Rent,Sub-Type,Furnishing,Listed By,Car Parking,Meals Included,error
https://www.olx.in/item/pg-guest-houses-c1449-fully-furnished-girls-pg-in-phase-2-mohali-in-phase-2-mohali-iid-1794531252,"₹ 6,000",PG,Furnished,Owner,0,No,
https://www.olx.in/item/pg-guest-houses-c1449-sharing-pg-for-girls-nearbysec747375-in-sector-74-mohali-iid-1751060202,"₹ 5,000",PG,Furnished,Owner,3+,Yes,
https://www.olx.in/item/pg-guest-houses-c1449-pg-girls-only-in-sector-56-mohali-iid-1809547909,"₹ 4,000",PG,Furnished,Owner,1,No,
https://www.olx.in/en-in/item/pg-guest-houses-c1449-3time-food-ac-gyser-fan-24gate-opn-in-sector-60-mohali-iid-1809541884,"₹ 6,500",Roommate,Furnished,Owner,1,Yes,
https://www.olx.in/en-in/item/pg-guest-houses-c1449-on-road-leading-to-sec-74-pg-for-boys-opened-today-2-seaters-only-in-sector-74-mohali-iid-1797791859,"₹ 6,500",PG,Furnished,Owner,3+,Yes,
https://www.olx.in/en-in/item/pg-guest-houses-c1449-i-m-looking-a-roommatefemale-or-male-in-mauli-mohali-iid-1808180637,"₹ 4,500",Roommate,Furnished,Dealer,1,No,
https://www.olx.in/en-in/item/pg-guest-houses-c1449-corporate-house-guest-housepg-for-professionals-in-sector-74-mohali-iid-1797200667,"₹ 9,000",Guest Houses,Furnished,Owner,3+,,
https://www.olx.in/en-in/item/pg-guest-houses-c1449-guest-house-for-corporate-employees-in-sector-71-mohali-iid-1797194608,"₹ 9,000",Guest Houses,Furnished,Owner,3+,Yes,
https://www.olx.in/en-in/item/pg-guest-houses-c1449-two-seater-bedroom-for-girl-with-ac-phase-4-mohali-in-sector-59-mohali-iid-1797796404,"₹ 5,000",PG,Furnished,Dealer,1,,
https://www.olx.in/en-in/item/pg-guest-houses-c1449-looking-for-room-mate-in-balongi-mohali-iid-1808188519,"₹ 2,000",Roommate,Semi-Furnished,Owner,0,No,
https://www.olx.in/en-in/item/pg-guest-houses-c1449-pg-for-boys-with-3-time-food-wi-fi-in-industrial-area-phase-1-mohali-iid-1808198609,"₹ 6,500",PG,Furnished,Owner,1,Yes,
https://www.olx.in/en-in/item/pg-guest-houses-c1449-pg-for-girls-sector-70-12-3-seater-available-in-sector-70-mohali-iid-1808204947,"₹ 7,000",PG,Semi-Furnished,Owner,2,Yes,
https://www.olx.in/en-in/item/pg-guest-houses-c1449-pg-for-girlsindependent-pg-pg-for-only-girls-in-industrial-area-phase-8-mohali-iid-1807404427,"₹ 5,500",PG,Semi-Furnished,Owner,0,No,
https://www.olx.in/en-in/item/pg-guest-houses-c1449-a-class-ac-rooms-for-boys-with-a-class-food-starting-10000-each-in-sector-110-mohali-iid-1809400761,"₹ 10,000",PG,Furnished,Owner,3+,Yes,
https://www.olx.in/en-in/item/pg-guest-houses-c1449-in-3195-new-ro-water-filter-deals-in-sale-service-commercial-ro-in-sector-71-mohali-iid-1809515917,"₹ 4,495",PG,Furnished,Dealer,1,No,
